Aspect,Polarity,Summary,Review
Output: Amenities and Location,Neutral,"McDonald's, Meijer, Menards, AutoZone","100 yd from McDonald's. You can shop at Meijer while you wait or even walk across the street to Menards if you really like to. there's an AutoZone right here also, not really useful for EV owners though. Unless you need washer fluid. ü§∑‚Äç‚ôÇÔ∏è"
Output: Charging speed and efficiency,Neutral,"100kW max, wish they would upgrade to 250 as these get pretty busy.","100kW max, wish they would upgrade to 250 as these get pretty busy. Plenty of shopping and food options"
Output: Accessibility and Amenities and location,Positive,conveniently located at a truck stop with a full restaurant and facilities,10am on a Monday and there was only one other charger being used. Very conveniently located at a truck stop with a full restaurant and facilities. Bathrooms were clean and the people were friendly.
Output: Charging speed and efficiency,Positive,10kw and 7kw free of charge,10kw and 7kw free of charge
Output: Amenities and Location,Positive,Hilton Garden Inn,10KW x 3 Tesla destination chargers courtesy of Hilton Garden Inn. Easy access to and from freeway.
Output: Amenities and Location,Positive,"Circle K, squee-gee, Purell hand pump","11 Superchargers at the Circle K! They have a squee-gee to clean your windshield and windows as well as a Purell hand pump! Super clean, easy to find, and no issues with charging!"
Accessibility and Accessibility,Positive,11 superchargers with plenty of parking around the Wawa for ICE vehicles not to block the superchargers,"11 superchargers with plenty of parking around the Wawa for ICE vehicles not to block the superchargers. Typical Wawa inside, super clean and plenty to snack or even eat more of a meal.
 Plenty of other places to eat at with in 5 minutes walking if you want. Publix supermarket is across the street and they have Great! sub sandwiches."
Amenities and location,Positive,"Typical Wawa inside, super clean and plenty to snack or even eat more of a meal","11 superchargers with plenty of parking around the Wawa for ICE vehicles not to block the superchargers. Typical Wawa inside, super clean and plenty to snack or even eat more of a meal.
 Plenty of other places to eat at with in 5 minutes walking if you want. Publix supermarket is across the street and they have Great! sub sandwiches."
Amenities and location,Positive,Plenty of other places to eat at with in 5 minutes walking if you want,"11 superchargers with plenty of parking around the Wawa for ICE vehicles not to block the superchargers. Typical Wawa inside, super clean and plenty to snack or even eat more of a meal.
 Plenty of other places to eat at with in 5 minutes walking if you want. Publix supermarket is across the street and they have Great! sub sandwiches."
Amenities and location,Positive,Publix supermarket is across the street and they have Great! sub sandwiches,"11 superchargers with plenty of parking around the Wawa for ICE vehicles not to block the superchargers. Typical Wawa inside, super clean and plenty to snack or even eat more of a meal.
 Plenty of other places to eat at with in 5 minutes walking if you want. Publix supermarket is across the street and they have Great! sub sandwiches."
Output: Charging speed and efficiency,Positive,Quick n easy on the way south,11 X 250kW stalls and they‚Äôre all open mid day. Quick n easy on the way south.
Output: Charging speed and efficiency,Positive,1100mi,"1100mi/hr charging. Briefly.
 Still, really high power"
Output: Charging speed and efficiency,Positive,116kW 4 supercharger stations,116kW 4 supercharger stations as others have posted prior so l can see how other people would have to wait. I suppose I got lucky because I had no wait when I went.
Output 12: Accessibility and Amenities and location,Positive,Wegmans and plenty of stores nearby,12 - 250 kWh chargers. Wegmans and plenty of stores nearby. Follow loop directions going around REI and you'll be able to locate the chargers across PNC bank & Ulta.
Output: Charging speed and efficiency,Positive,"Charging so fast, I barely had time to pee.","12 150 and 12 250kW chargers! No wait! Charging so fast, I barely had time to pee."
Output: Accessibility and Accessibility,Positive,12 250kW chargers,12 250kW chargers. Most back to back. Short walk to recharge and discharge as needed. Plenty of other offerings a stone's throw away.
Output: Availability and Accessibility,Neutral,"12 chargers, 2 cars charging at 7 am on Sunday. Dunkin is nearby.","12 chargers, 2 cars charging at 7 am on Sunday. Dunkin is nearby."
Output: Amenities and Location,Positive,12 charging stations at this Suoercharger location right off the I-5 highway and next to a Panera,12 charging stations at this Suoercharger location right off the I-5 highway and next to a Panera. A row of 9 with 1 and 2 along the sides. No waiting at 11:30 am on a Saturday.
Output: Amenities and Location,Positive,Shaws market center,12 new V3 Superchargers. Conveniently located in a Shaws market center.
Output: queue and waiting time,Positive,empty in the morning,"12 ports to charge, one pull up one , definitely empty in the morning ;)"
Output: Amenities and Location,Positive,shopping nearby,12 stalls with shopping nearby
Output: Accessibility and Amenities and location,Positive,"12 stalls, 250kW V3, next to a Wendy's. Pull-in style. Easy access coming in and out. Several food options and a Circle K nearby.","12 stalls, 250kW V3, next to a Wendy's. Pull-in style. Easy access coming in and out. Several food options and a Circle K nearby."
Output: Accessibility and Availability,Neutral,12 stalls,12 stalls.
Output: Charging speed and efficiency,Positive,Takes about 40 minutes to be fully charged for a long range model Y @ 530 miles,12 stations available. Low traffic area. Takes about 40 minutes to be fully charged for a long range model Y @ 530 miles/hr rate.
Output: Accessibility and Location,Positive,"MidCity development in Huntsville, centrally located and walkable to restaurants and bathrooms, Easily accessible from University Drive and Research Park Blvd.",12 Tesla Supercharger stalls located at the MidCity development in Huntsville. It‚Äôs centrally located and walkable to restaurants and bathrooms. Easily accessible from University Drive and Research Park Blvd.
Output: Amenities and Location,Positive,"Buc-ee's in Texas, drive-through Burger King","12 Tesla superchargers and super clean bathrooms. It reminds me of Buc-ee‚Äôs in Texas but with a drive-through Burger King! Great place to stop if you need gas, food, restrooms, or an electric charge for your Tesla."
Output: Amenities and Location,Positive,"Red Robin, Dick's sporting goods",12 units. Right off the highway and in a shopping plaza. Red Robin within walking distance and across from Dick‚Äôs sporting goods.
Output: Amenities and Location,Positive,"restrooms, walking path, automatic night lighting",12 Wonderful Superchanging station's so close to the mall for restrooms! Again Restrooms* also a nice walking path to stretch out your legs. Great automatic night lighting
Output: Charging speed and efficiency,Positive,120kw !!! Around 326 miles per hour.,120kw !!! Around 326 miles per hour. There was one stall that wasn‚Äôt working. The 4th one starting from the left side.
Output 13: Amenities and Location,Positive,zipline while your charging,"13 miles from the Parkway and you can even zipline
 while your charging...."
Output: Amenities and Location,Positive,"Woods Coffee, Subway, Jack in the Box and many more places to eat and shop","14 beautiful Tesla stalls @150kW. Great charging location with Woods Coffee, Subway, Jack in the Box and many more places to eat and shop!
 
 Opened: October, 11th, 2019!"
Output: Amenities and Location,Positive,"Denny's connected to large gas station with huge, clean bathrooms","14 chargers! Perhaps the best location between Dallas and Memphis. Plenty of chargers, small town, Denny's connected to large gas station with huge, clean bathrooms. This is the stop to plan for when traveling."
Output: Charging speed and efficiency,Positive,142kw. Clean but only charging,142kw. Clean but only charging. There are however several hotels and provisions nearby.
Output: Charging speed and efficiency,Negative,some chargers are lower,147kw but some chargers are lower. If your low on charge and your not getting 140kw or above move.
Output: Accessibility and Amenities,Positive,15 250kW chargers. One is a pull through suitable for a Tesla pulling a trailer. Good bathrooms at Dave and Busters.,"15 250kW chargers. One is a pull through suitable for a Tesla pulling a trailer.
 Good bathrooms at Dave and Busters."
Output: Charging speed and efficiency,Positive,150 kilowatt charger that is usually not very busy,150 kilowatt charger that is usually not very busy. Normally cost 40 cents per kilowatt hour.
Accessibility and Accessibility,Negative,4ab chargers didn't work for me and another Tesla,150 kW 1ab 2ab 3ab 4ab very convenient except much traffic entering right in front of chargers. Also 4ab chargers didn‚Äôt work for me and another Tesla.
Output: Accessibility and Amenities and location,Neutral,150 kw charger in the wall drug parking lot on the south side of town,150 kw charger in the wall drug parking lot on the south side of town. Not much nearby after hours. Swing by one of the 24 hr gas stations if you need to use the restroom or get some snacks!
Output: Amenities and Location,Positive,"Wawa parking lot, Starbucks within walking distance",150 kW charger in the Wawa parking lot. Starbucks within walking distance.
Output: Charging speed and efficiency,Negative,74kW was the max I could get,150 kW stated. 74kW was the max I could get.
Output: Amenities and Location,Positive,DD and convenience store,150 KWH charge station with ample spots. Good amenities of DD and convenience store. 2 DC fast chargers are available at the end from NC energy. Right off of 95 makes this an easy stop. No tow ready spots though. Trash cans and window cleaners provided to make it better.
Output: Amenities and location,Negative,No trash cans onsite,"150 kWh charges at the mall parking lot. No trash cans onsite, you'll need to wait to the mall if you need to discard trash."
Output: Charging speed and efficiency,Negative,"One of the chargers had a broken ""pin"" in the charger handle and would not plug into my charge port.","150kw and easy walk to a Wawa and other restaurants. One of the chargers had a broken ""pin"" in the charger handle and would not plug into my charge port."
Output: Amenities and location,Positive,hotel let's you use the nice and clean restrooms and will sell you a drink while you wait.,150kw chargers but the hotel let's you use the nice and clean restrooms and will sell you a drink while you wait.
Output: Amenities and Location,Negative,"food desert, Nothing available here should be eaten for best health",150kw so no speed records. At a Sheetz so there is a bathroom but it is a food desert. Nothing available here should be eaten for best health. grab a coffee at Dunkin just down the road on the way back to the I-81
Output: Charging speed and efficiency,Positive,150kw supercharger,150kw supercharger with a Mountain View
Output: Charging speed and efficiency,Positive,150kw superchargers,"150kw superchargers. This place has Starlink terminal!!
 When I visited this morning, it was empty but the chargers were working."
Output: Amenities and Location,Positive,"Flagstaff, or Sedona","150kW v2. Top up going to or coming back from Flagstaff, or Sedona. We always end up buying something at the gas station. We've been here both day time and many times late at night with no issues."
Accessibility and Amenities and location,Positive,"16 charge spots and rarely full, easy walk to the Barnes and noble that also has a cafe, Red Robin burger place, Bar Louie with outdoor dining, Panera Bread, smaller places inside the mall, AMC theater here","16 charge spots and rarely full. The Brunswick square mall is okay as far as malls go but you do have an easy walk to the Barnes and noble that also has a cafe. The mall has a Red Robin burger place, Bar Louie with outdoor dining, Panera Bread and a few smaller places inside the mall. There is also an AMC theater here as well. There are 4 Volta chargers here with no specific time limits but since those are in prime parking spots those are usually filled with non EVs. These are all Level 3 chargers and since you rarely have half the stations filled, you usually never receive the penalty for not getting your car out once you‚Äôre done charging.
 
 The asphalt is a little run down compared to other Tesla chargers in a 20 mile radius"
Reliability and maintenance,Neutral,The asphalt is a little run down compared to other Tesla chargers in a 20 mile radius,"16 charge spots and rarely full. The Brunswick square mall is okay as far as malls go but you do have an easy walk to the Barnes and noble that also has a cafe. The mall has a Red Robin burger place, Bar Louie with outdoor dining, Panera Bread and a few smaller places inside the mall. There is also an AMC theater here as well. There are 4 Volta chargers here with no specific time limits but since those are in prime parking spots those are usually filled with non EVs. These are all Level 3 chargers and since you rarely have half the stations filled, you usually never receive the penalty for not getting your car out once you‚Äôre done charging.
 
 The asphalt is a little run down compared to other Tesla chargers in a 20 mile radius"
Output: Amenities and Location,Negative,"No restroom available, Movie theater, small stores, Every store put on sign ""No public restroom""","16 charger available .
 Only 2car‚Äôs here.
 No restroom available.
 Movie theater, small stores ..
 Every store put on sign‚ÄùNo public restroom ‚Äú Really?
 What kind of place are here?"
Output: Accessibility and Location,Positive,16 chargers behind the McDonalds. 3 to 4 restaurants nearby. They should have a sign coming off the interstate.,16 chargers behind the McDonalds. 3 to 4 restaurants nearby. They should have a sign coming off the interstate. But fast charging.
Output: Amenities and Location,Positive,"trash cans, picnic table, dog friendly (bags","16 chargers, 250 kw, trash cans, picnic table, dog friendly (bags / va-poo-rise), Sinclair gas station, clean bathrooms, snacks"
Output: Amenities and Location,Positive,"16 charging stalls, right off I-75, lots of fast food options within a short walk","16 charging stalls, right off I-75, lots of fast food options within a short walk"
Output: Charging speed and efficiency,Positive,charging speeds up to 110kW,"16 stalls at 250kW max at $0.42/kW
 
 I got charging speeds up to 110kW today 3/1/23"
Output: Amenities and Location,Positive,Chuy's restaurant in Briargate,16 stalls. 250 kW max. Near Chuy‚Äôs restaurant in Briargate.
Output: Accessibility and Accessibility,Positive,"16 superchargers and 16 destination chargers, great location close to mall","16 superchargers and 16 destination chargers, great location close to mall"
Output: Availability and Accessibility,Positive,16 Superchargers mostly unoccupied at 5pm today.,16 Superchargers... mostly unoccupied at 5pm today.
Output: Accessibility and Amenities and location,Positive,"16 v3s right off highway, Nice travel center with a dennys",16 v3s right off highway. Nice travel center with a dennys. All supercharger spots should be at places like this
Output: Charging speed and efficiency,Positive,164 kW on Sunday afternoon,164 kW on Sunday afternoon with one other EV (and one ICE block).
Accessibility and Amenities and location,Positive,19 stalls! One of the larger supercharger stops. It's also located right outside Palisades mall,"19 stalls! One of the larger supercharger stops. It‚Äôs also located right outside Palisades mall so plenty of things to do.
 
 Includes a easily accessible Starbucks where you can order with the mobile app."
Amenities and location,Positive,Includes a easily accessible Starbucks where you can order with the mobile app.,"19 stalls! One of the larger supercharger stops. It‚Äôs also located right outside Palisades mall so plenty of things to do.
 
 Includes a easily accessible Starbucks where you can order with the mobile app."
Output: Charging speed and efficiency,Positive,"1A charges pretty slowly, but we switched to 3A and it is much faster","1A charges pretty slowly, but we switched to 3A and it is much faster. Flying J is pretty good. Nice bathrooms, lots of food options either in a bag or warm. Pizza, chicken fingers/strips, and...Cinnabon (but I didn‚Äôt get one)."
Output: Accessibility and Accessibility,Negative,ICE van was parked in a Tesla spot,"1abc 2abc chargers. busy stop, ICE van was parked in a Tesla spot but we were the only ones charging"
Accessibility and Accessibility,Positive,"Good convenience store at Airport Rd and across the street there are IHOP, Chipotle, and other restaurants.","1abcd 2abcd got 240kW rate. Good convenience store at Airport Rd and across the street there are IHOP, Chipotle, and other restaurants."
Amenities and location,Positive,"IHOP, Chipotle, and other restaurants.","1abcd 2abcd got 240kW rate. Good convenience store at Airport Rd and across the street there are IHOP, Chipotle, and other restaurants."
Output: Amenities and Location,Positive,Hannafords has restrooms and food,1abcd and 2abcd. Convenient Hannafords has restrooms and food.
Output 13: Accessibility and Accessibility,Positive,1B and 1C working great 9-17 and 9-18 2022,"1B and 1C working great 9-17 and 9-18 2022
 They have added a plastic cover on the south side to prevent people from parking on the south side of the chargers even though it really wouldn't take much difference as there is only about an 8 inch difference from which side of the concrete the supercharger is on. So it's more just a deterrent to get people to the right side! (North)"
Output: reliability and maintenance,Negative,1B not working,1B not working. On backside of mall so kinda creepy at night. Be aware.
Output: Charging speed and efficiency,Positive,"250kW Stations, liquid cooled, charge at 1,000+ mph","1St Review !
 I just love the 250kW Stations, they‚Äôre liquid cooled and can charge at 1,000+ mph
 In this place you can have Casa Garcia‚Äôs, 5-Guys Burger, Chick Fil-A, iHop etc
 
 Viva M√©xico cbrns Ajuaaaa"
Output: Accessibility and Accessibility,Negative,charging is only for hotel guests and others will get towed,2 chargers at the Abby Inn Suites. 1 charger is a Tesla destination charger. The other charger is J1772. The sign says charging is only for hotel guests and others will get towed :(
Output: Amenities and Location,Negative,"Motel 6, overnight train noise and hallway noise","2 chargers right next to Motel 6. Chargers worked good, but if you are looking for a restful overnight stay, this motel is NOT ideal....too much overnight train noise and hallway noise."
Output: Accessibility and Accessibility,Positive,2 chargers up front,2 chargers up front
Output: reliability and maintenance,Negative,2 chargers weren't working,"2 chargers weren‚Äôt working, good stop, quick charge"
Output: Charging speed and efficiency,Negative,"slow charging speed, Accessibility and Location",2 chargers. 4 stars for being there. Not 5 because of slow charging speed. Hard to find. Located right by Tiger Blvd entrance of currently closed Best Western. Between hotel street entrance and back of CVS. See picture.
