ID,Manul Aspect,Aspect,Polarity,Summary,Review,Flag,Manul Aspect
1786,Amenities+Location,user interface,positive,Great map of downtown area,"This is a great place to do a longer time charge! They have added a nice map of the little downtown area with places to shop, walk and rest. Stopped at Perla Baking Co. for coffee and took a walk near the lake.",0,
1787,Amenities+Location,amenities,positive,"Nice places to shop, walk, rest","This is a great place to do a longer time charge! They have added a nice map of the little downtown area with places to shop, walk and rest. Stopped at Perla Baking Co. for coffee and took a walk near the lake.",0,
1788,Amenities+Location,charging location,positive,Stopped for coffee and walk nearby,"This is a great place to do a longer time charge! They have added a nice map of the little downtown area with places to shop, walk and rest. Stopped at Perla Baking Co. for coffee and took a walk near the lake.",0,
1789,Amenities+Location,charging location,negative,not convenient for roadtrips,"Farther off I-10 than most superchargers so not the most convenient for roadtrips. Also, I don’t recommend going here at night. Has this eerily quiet and creepy feeling. Random cars kept pulling into the gym parking lot even though the gym was closed and the people never got out of their car. If you can make it to Crestview, that one is way better.",0,
1790,Safety,safety,negative,creepy feeling at night,"Farther off I-10 than most superchargers so not the most convenient for roadtrips. Also, I don’t recommend going here at night. Has this eerily quiet and creepy feeling. Random cars kept pulling into the gym parking lot even though the gym was closed and the people never got out of their car. If you can make it to Crestview, that one is way better.",0,
1791,Accessibility+Availability ,availability,negative,random cars in parking lot,"Farther off I-10 than most superchargers so not the most convenient for roadtrips. Also, I don’t recommend going here at night. Has this eerily quiet and creepy feeling. Random cars kept pulling into the gym parking lot even though the gym was closed and the people never got out of their car. If you can make it to Crestview, that one is way better.",0,
1792,Customer Service,charging location,positive,Crestview is way better,"Farther off I-10 than most superchargers so not the most convenient for roadtrips. Also, I don’t recommend going here at night. Has this eerily quiet and creepy feeling. Random cars kept pulling into the gym parking lot even though the gym was closed and the people never got out of their car. If you can make it to Crestview, that one is way better.",0,
1793,Speed+Efficiency ,infrastructure,positive,Gets the job done,It gets the job done for charging your car. There is some stuff close by but still wished EVs would get a proper rest area and service plaza.,0,
1794,Amenities+Location,amenities,negative,Wished for proper rest area,It gets the job done for charging your car. There is some stuff close by but still wished EVs would get a proper rest area and service plaza.,0,
1795,Amenities+Location,infrastructure,negative,"No amenities nearby, inconvenient location",Well it’s a quick charge but nothing much else.  No restroom or dining options in the immediate vicinity except a portable potty across the street.  At a couple miles off I-10 it’s kind of a random place for a charger.,0,
1796,Speed+Efficiency ,availability,positive,Quick charging available,Well it’s a quick charge but nothing much else.  No restroom or dining options in the immediate vicinity except a portable potty across the street.  At a couple miles off I-10 it’s kind of a random place for a charger.,0,
1797,Reliability+Maintenance,reliability,negative,unreliable and broken chargers,"The most unreliable charging station I've encountered in Florida. Electrify America will not fix the 2 broken chargers and the ""working"" chargers are offline most of the time. Electrify America should be embarrassed by this, especially since it's right next to a Tesla supercharging station that is always humming.",0,
1798,Reliability+Maintenance,availability,negative,working chargers offline most of time,"The most unreliable charging station I've encountered in Florida. Electrify America will not fix the 2 broken chargers and the ""working"" chargers are offline most of the time. Electrify America should be embarrassed by this, especially since it's right next to a Tesla supercharging station that is always humming.",0,
1799,Customer Service,customer service,negative,Electrify America should be embarrassed,"The most unreliable charging station I've encountered in Florida. Electrify America will not fix the 2 broken chargers and the ""working"" chargers are offline most of the time. Electrify America should be embarrassed by this, especially since it's right next to a Tesla supercharging station that is always humming.",0,
1800,Amenities+Location,charging location,negative,right next to a Tesla supercharging station,"The most unreliable charging station I've encountered in Florida. Electrify America will not fix the 2 broken chargers and the ""working"" chargers are offline most of the time. Electrify America should be embarrassed by this, especially since it's right next to a Tesla supercharging station that is always humming.",0,
1801,Speed+Efficiency ,charging speed,negative,350 kW chargers out of service,"July 3, All 350 kilowatt chargers out of service for the last 2 weeks. Only one 150 operational. Have notified electrify America to fix. Have not responded for repair. Have always been treated well by service operators, until this time, operator rude.",0,
1802,Customer Service,customer service,positive,always treated well by operators,"July 3, All 350 kilowatt chargers out of service for the last 2 weeks. Only one 150 operational. Have notified electrify America to fix. Have not responded for repair. Have always been treated well by service operators, until this time, operator rude.",0,
1803,Customer Service,customer service,negative,operator rude,"July 3, All 350 kilowatt chargers out of service for the last 2 weeks. Only one 150 operational. Have notified electrify America to fix. Have not responded for repair. Have always been treated well by service operators, until this time, operator rude.",0,
1804,Speed+Efficiency ,charging speed,positive,added 80 miles in 20 mins,Set up on the 350 charger.  Went to sandwich shop in the parking lot for a fast bite.  In twenty mins I added about 80 miles to my battery.  Charge with tax was about $7.00.  Much more than charging at home but alot better than gasoline.  B =),0,
1805,Price+Cost,price,negative,charge was about $7.00,Set up on the 350 charger.  Went to sandwich shop in the parking lot for a fast bite.  In twenty mins I added about 80 miles to my battery.  Charge with tax was about $7.00.  Much more than charging at home but alot better than gasoline.  B =),0,
1806,Amenities+Location,charging location,positive,in parking lot of sandwich shop,Set up on the 350 charger.  Went to sandwich shop in the parking lot for a fast bite.  In twenty mins I added about 80 miles to my battery.  Charge with tax was about $7.00.  Much more than charging at home but alot better than gasoline.  B =),0,
1807,Reliability+Maintenance,user interface,negative,glitches are frustrating,I am finding Electrify America has a lot of glitches. It is pretty frustrating trying to get them to work properly on a regular basis.,0,
1808,Reliability+Maintenance,efficiency,negative,hard to get them to work,I am finding Electrify America has a lot of glitches. It is pretty frustrating trying to get them to work properly on a regular basis.,0,
1809,Customer Service,customer service,negative,lots of glitches,I am finding Electrify America has a lot of glitches. It is pretty frustrating trying to get them to work properly on a regular basis.,0,
1810,Ease of use,user interface,positive,easy to use,It's fine.,0,
1811,Price+Cost,price,neutral,fair pricing,It's fine.,0,
1812,Reliability+Maintenance,functionality,positive,works well,It's fine.,0,
1813,Amenities+Location,charging location,positive,convenient with nearby amenities,"Variety of fast food restaurants nearby, grocery store across the parking lot, hospital across the street. Very walkable location. Trash cans on sight. 10/10. This will definitely be a routine stop for me when I'm in South Alabama.  This charger was much-needed!",0,
1814,Reliability+Maintenance,charging station,positive,much-needed and reliable,"Variety of fast food restaurants nearby, grocery store across the parking lot, hospital across the street. Very walkable location. Trash cans on sight. 10/10. This will definitely be a routine stop for me when I'm in South Alabama.  This charger was much-needed!",0,
1815,Amenities+Location,infrastructure,positive,Convenient location with nearby amenities,"A nice supercharger in the parking lot of Winn Dixie, restrooms are in the back right corner.  A couple of trashcans to keep the place tidy which is a plus.  A few places to eat within the same parking lot, Checkers, Burger King, and Hungry Howie's, but Checkers was drive thru only.  If you want to walk across the street there are a few more options.",0,
1816,Accessibility+Availability ,availability,positive,Easy access to charging station,"A nice supercharger in the parking lot of Winn Dixie, restrooms are in the back right corner.  A couple of trashcans to keep the place tidy which is a plus.  A few places to eat within the same parking lot, Checkers, Burger King, and Hungry Howie's, but Checkers was drive thru only.  If you want to walk across the street there are a few more options.",0,
1817,Amenities+Location,amenities,positive,Clean and tidy with trashcans provided,"A nice supercharger in the parking lot of Winn Dixie, restrooms are in the back right corner.  A couple of trashcans to keep the place tidy which is a plus.  A few places to eat within the same parking lot, Checkers, Burger King, and Hungry Howie's, but Checkers was drive thru only.  If you want to walk across the street there are a few more options.",0,
1818,Ease of use,user interface,positive,Easy to use,I wish my cybertruck was here so I could use this facility 😊,0,
1819,Accessibility+Availability ,availability,positive,Wish my car was here,I wish my cybertruck was here so I could use this facility 😊,0,
1820,Compatibility+Connectivity ,charging compatibility/connectivity,positive,Great for my cybertruck,I wish my cybertruck was here so I could use this facility 😊,0,
1821,Accessibility+Availability ,charging location,positive,Useful facility,I wish my cybertruck was here so I could use this facility 😊,0,
1822,Amenities+Location,infrastructure,positive,Great charging spot,Great spot to charge.,0,
1823,Speed+Efficiency ,infrastructure,positive,Efficient and functional charging station,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1824,Speed+Efficiency ,availability,positive,"No wait time, fully charged quickly",Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1825,Amenities+Location,charging location,positive,"Located near grocery store, easy access",Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1826,Reliability+Maintenance,reliability,positive,Everything worked as expected,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1827,Amenities+Location,amenities,neutral,No mention of amenities,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1828,Price+Cost,price,neutral,No mention of cost,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1829,Customer Service,customer service,neutral,No mention of service quality,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1830,Speed+Efficiency ,charging speed,positive,Car fully charged quickly,Just like any supercharger location. I was the only person there. Ran in to get some groceries and the car was fully charged. Everything worked like it should.,0,
1831,Speed+Efficiency ,charging speed,positive,Fast charging and great price.,Fast charging and great price.  Nice  coffee shop and restaurants within walking distance.  Across from the Police station.,0,
1832,Amenities+Location,amenities,positive,Nice coffee shop and restaurants.,Fast charging and great price.  Nice  coffee shop and restaurants within walking distance.  Across from the Police station.,0,
1833,Accessibility+Availability ,accessibility,positive,Within walking distance.,Fast charging and great price.  Nice  coffee shop and restaurants within walking distance.  Across from the Police station.,0,
1834,Safety,safety,positive,Across from the Police station.,Fast charging and great price.  Nice  coffee shop and restaurants within walking distance.  Across from the Police station.,0,
1835,Amenities+Location,infrastructure,positive,Artwork is awesome,These pics are actually across from the charge point station !! Pretty good place to go to clear your mind !! And the artwork is awesome,0,
1836,Amenities+Location,charging location,positive,Good place to clear your mind,These pics are actually across from the charge point station !! Pretty good place to go to clear your mind !! And the artwork is awesome,0,
1837,Accessibility+Availability ,accessibility,positive,Across from charge point station,These pics are actually across from the charge point station !! Pretty good place to go to clear your mind !! And the artwork is awesome,0,
1838,Speed+Efficiency ,efficiency,negative,Slow charging time,Ok charge. Dropped off after a bit and ended up taking 1:20 for 90%,0,
1839,Speed+Efficiency ,capacity,negative,Took too long to charge,Ok charge. Dropped off after a bit and ended up taking 1:20 for 90%,0,
1840,Reliability+Maintenance,reliability,negative,Stopped charging abruptly,Ok charge. Dropped off after a bit and ended up taking 1:20 for 90%,0,
1841,Customer Service,customer service,positive,Overall okay experience,Ok charge. Dropped off after a bit and ended up taking 1:20 for 90%,0,
1842,Amenities+Location,charging location,positive,great proximity to restaurants,Great location in downtown Dothan with close proximity to restaurants while you charge - charge slower than advertised and only 1 out of 2 chargers working as of 8/13/21,0,
1843,Speed+Efficiency ,charging speed,negative,charge slower than advertised,Great location in downtown Dothan with close proximity to restaurants while you charge - charge slower than advertised and only 1 out of 2 chargers working as of 8/13/21,0,
1844,Accessibility+Availability ,availability,negative,only 1 out of 2 chargers working,Great location in downtown Dothan with close proximity to restaurants while you charge - charge slower than advertised and only 1 out of 2 chargers working as of 8/13/21,0,
1845,Ease of use,user interface,positive,Easy to use,"Nice chargers that are easy to use! I had no problems using the first one I parked at. It’s right next to Sheetz, at the back of the parking lot, so it has all the regular gas station conveniences: snacks, drinks, restrooms, etc.",0,
1846,Amenities+Location,amenities,positive,"Snacks, drinks, restrooms, etc.","Nice chargers that are easy to use! I had no problems using the first one I parked at. It’s right next to Sheetz, at the back of the parking lot, so it has all the regular gas station conveniences: snacks, drinks, restrooms, etc.",0,
1847,Amenities+Location,charging location,positive,Right next to Sheetz,"Nice chargers that are easy to use! I had no problems using the first one I parked at. It’s right next to Sheetz, at the back of the parking lot, so it has all the regular gas station conveniences: snacks, drinks, restrooms, etc.",0,
1848,Accessibility+Availability ,charging station,negative,inconvenient due to false advertising,I was staying at the Microtel due to the train derailment and being displaced from my home. They must have saw I was using the charger(that is advertised as being 24/7) and turned it off. I was  moving my car every morning before they opened. When I bought my car i was GUARANTEED I could use all the Nissan charging stations. Absolutely ridiculous and selfish.,0,
1849,Customer Service,charging station,negative,guarantee not fulfilled,I was staying at the Microtel due to the train derailment and being displaced from my home. They must have saw I was using the charger(that is advertised as being 24/7) and turned it off. I was  moving my car every morning before they opened. When I bought my car i was GUARANTEED I could use all the Nissan charging stations. Absolutely ridiculous and selfish.,0,
1850,Customer Service,charging station,negative,selfish behavior by hotel staff,I was staying at the Microtel due to the train derailment and being displaced from my home. They must have saw I was using the charger(that is advertised as being 24/7) and turned it off. I was  moving my car every morning before they opened. When I bought my car i was GUARANTEED I could use all the Nissan charging stations. Absolutely ridiculous and selfish.,0,
1851,Accessibility+Availability ,queue/waiting time,negative,useless due to ICE cars parked,"Charger setup is excellent, but ICE cars are constantly parked in front of charger, making it useless. Plenty of parking available so why park in front of it, it appears the cars parked there belong to the workers.",0,
1852,Accessibility+Availability ,availability,negative,cars parked belong to workers,"Charger setup is excellent, but ICE cars are constantly parked in front of charger, making it useless. Plenty of parking available so why park in front of it, it appears the cars parked there belong to the workers.",0,
1853,Ease of use,safety,positive,excellent charger setup,"Charger setup is excellent, but ICE cars are constantly parked in front of charger, making it useless. Plenty of parking available so why park in front of it, it appears the cars parked there belong to the workers.",0,
1854,Customer Service,customer service,negative,unfriendly staff,"This charging station is belong to the FORD DEALER SAID THE GM TO ME. ...Not a friendly guy!

He told me is only for  His customers! He said that He will let people be
misguided to come in and He will tell them the bad News..... My kids will not be buying any FORDS HERE, I assure you......",0,
1855,Accessibility+Availability ,availability,negative,restricted to dealer customers,"This charging station is belong to the FORD DEALER SAID THE GM TO ME. ...Not a friendly guy!

He told me is only for  His customers! He said that He will let people be
misguided to come in and He will tell them the bad News..... My kids will not be buying any FORDS HERE, I assure you......",0,
1856,Reliability+Maintenance,reliability,negative,misleading information given,"This charging station is belong to the FORD DEALER SAID THE GM TO ME. ...Not a friendly guy!

He told me is only for  His customers! He said that He will let people be
misguided to come in and He will tell them the bad News..... My kids will not be buying any FORDS HERE, I assure you......",0,
1857,Accessibility+Availability ,infrastructure,positive,Grateful for accommodating my car,Grateful I got to use their charger. They moved one of the vehicles to make space for my car to charge. Thank you!,0,
1858,Customer Service,customer service,positive,Thankful for moving vehicle to charge,Grateful I got to use their charger. They moved one of the vehicles to make space for my car to charge. Thank you!,0,
1859,Ease of use,user interface,negative,instruction not clear or not working,Useless station. Either instruction are not clear or not working. this is my second time. Crappie Management! ...,0,
1860,Accessibility+Availability ,infrastructure,negative,useless station,Useless station. Either instruction are not clear or not working. this is my second time. Crappie Management! ...,0,
1861,Customer Service,customer service,negative,crappie management,Useless station. Either instruction are not clear or not working. this is my second time. Crappie Management! ...,0,
1862,Ease of use,user interface,negative,Difficulty initiating charge,Charger has power but would not initiate the charge. Front desk said it is not working.,0,
1863,Reliability+Maintenance,efficiency,negative,Charger not working,Charger has power but would not initiate the charge. Front desk said it is not working.,0,
1864,Speed+Efficiency ,infrastructure,positive,Trustworthy for long trips,"Electrify America has become the only charging station I trust for a long trip. If they don’t have an Electrify America on my route I’m going to take my gas powered vehicle.

I’ve been stranded a few times because I get to a charging station and it’s out of service so there’s nothing better than pulling up to Electrify America seeing 8+ available charging spots!

The charge is fast, the pricing is great, and they’re always next to a shopping area giving you something to do while your vehicle charges.

*In this case we are right next to a premium outlet mall and then block away coffee shops, grocery stores, clothing stores etc*",0,
1865,Accessibility+Availability ,availability,positive,Plenty of charging spots available,"Electrify America has become the only charging station I trust for a long trip. If they don’t have an Electrify America on my route I’m going to take my gas powered vehicle.

I’ve been stranded a few times because I get to a charging station and it’s out of service so there’s nothing better than pulling up to Electrify America seeing 8+ available charging spots!

The charge is fast, the pricing is great, and they’re always next to a shopping area giving you something to do while your vehicle charges.

*In this case we are right next to a premium outlet mall and then block away coffee shops, grocery stores, clothing stores etc*",0,
1866,Speed+Efficiency ,efficiency,positive,Fast charging and great pricing,"Electrify America has become the only charging station I trust for a long trip. If they don’t have an Electrify America on my route I’m going to take my gas powered vehicle.

I’ve been stranded a few times because I get to a charging station and it’s out of service so there’s nothing better than pulling up to Electrify America seeing 8+ available charging spots!

The charge is fast, the pricing is great, and they’re always next to a shopping area giving you something to do while your vehicle charges.

*In this case we are right next to a premium outlet mall and then block away coffee shops, grocery stores, clothing stores etc*",0,
1867,Amenities+Location,amenities,positive,Located near shopping and other stores,"Electrify America has become the only charging station I trust for a long trip. If they don’t have an Electrify America on my route I’m going to take my gas powered vehicle.

I’ve been stranded a few times because I get to a charging station and it’s out of service so there’s nothing better than pulling up to Electrify America seeing 8+ available charging spots!

The charge is fast, the pricing is great, and they’re always next to a shopping area giving you something to do while your vehicle charges.

*In this case we are right next to a premium outlet mall and then block away coffee shops, grocery stores, clothing stores etc*",0,
1868,Reliability+Maintenance,infrastructure,negative,Technical issues with charging stations,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1869,Customer Service,customer service,negative,Poor customer service experience,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1870,Reliability+Maintenance,efficiency,negative,Charging stations not working properly,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1871,Accessibility+Availability ,availability,negative,Limited charging station options,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1872,Reliability+Maintenance,reliability,negative,Charging stations not reliable,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1873,Accessibility+Availability ,charging location,negative,Inconvenient charging experience,"Tried two different chargers. First one, #8, gave a red light immediately.  Had to call their customer service to get the charger to be released from the port.  They asked me to try the #1 station.  Plugged into it...  And it charged for about 3 seconds then said there was a technical issue.  Would not release.  Perhaps they need to send a technician out to give the chargers a once over.  I have no issues charging at home.",0,
1874,Speed+Efficiency ,user interface,negative,Charging process takes too long,Worst charging station network. I received 2-year free charging from Mercedes-Benz but every time I plug in the charger it says connecting to the vehicle forever and never starts charging unless I reach out to a customer care rep and they get approval to remote start it and then do a remote start. This whole process takes up to 30 mins by which I’d have charged my car.,0,
1875,Compatibility+Connectivity ,charging compatibility/connectivity,negative,Charger doesn't connect to vehicle,Worst charging station network. I received 2-year free charging from Mercedes-Benz but every time I plug in the charger it says connecting to the vehicle forever and never starts charging unless I reach out to a customer care rep and they get approval to remote start it and then do a remote start. This whole process takes up to 30 mins by which I’d have charged my car.,0,
1876,Customer Service,customer service,negative,Customer care needed for every charge,Worst charging station network. I received 2-year free charging from Mercedes-Benz but every time I plug in the charger it says connecting to the vehicle forever and never starts charging unless I reach out to a customer care rep and they get approval to remote start it and then do a remote start. This whole process takes up to 30 mins by which I’d have charged my car.,0,
